Article Title,Species,Main Topic,Secondary Topics,Article URL,Author,Entry ID,Tags
7 of the Best Automatic Pet Feeders to Make Sure Your Cat or Dog Eats Well,Cat and Dog,Nutrition,"weight-management, food-treats-feeders",https://thewildest.com/pet-nutrition/automatic-pet-feeder,Heven Haile,405htWisLij2MPEZ0O1w0o,"cat, cat food, cat nutrition, cat products, dog, dog food, dog nutrition, dog products, kitten food, new cat, new dog"
Your Pet Can Go Gourmet With AryaSit!’s Quail-Egg Treats,Cat and Dog,Nutrition,"treats-food-toppers, food-treats-feeders",https://thewildest.com/pet-nutrition/arya-sit-freeze-dried-treats,Maia Welbel,4mS1cwoIyH7V329aY5D565,"dog, dog food, dog products, cat, cat nutrition, cat products, dog nutrition, cat food"
Find Out What Your Favorite Chef Is Feeding Their Pet,Cat and Dog,Nutrition,"food, recipes, life-with-pets",https://thewildest.com/pet-nutrition/what-chefs-feed-their-pets,Emma Loewe,51rRqjSAXlZflwW4mavPuO,"dog, dog food, dog lifestyle, dog nutrition, dog health, cat nutrition, cat lifestyle, cat, cat health, cat food"
How to Find Free Dog and Cat Food Near You,Cat and Dog,Nutrition,"food, life-with-pets, animal-advocacy",https://thewildest.com/pet-nutrition/free-pet-food,Sio Hornbuckle,4eIDXjlJUQT9Pk5TRcJ6nT,"cat, cat food, cat lifestyle, cat nutrition, dog, dog food, dog lifestyle, dog nutrition"
"Finally, the Truth About Grain-Free Food and Its Connection to Heart Disease",Cat and Dog,Nutrition,"food, conditions-treatments",https://thewildest.com/pet-nutrition/grain-free-dog-food-heart-disease,Kate Sheofsky,5QRXymCJoiOIrdvlbgpT92,"dog, dog health, dog food, dog nutrition, dog safety, new dog, senior dog"
How Pets Benefit From a Balanced Gut Microbiome | Dysbiosis in Cats & Dogs,Cat and Dog,Nutrition,"weight-management, vitamins-supplements, holistic-vet-care",https://thewildest.com/pet-nutrition/microbiomes-dog-gut-health,Daniela Lopez,4ZIpwCvq2QOGRm3lOVt4z4,"dog, dog health, dog nutrition, dog vitamins/supplements, cat, cat health, cat nutrition, pet health"
How to Read a Pet Food Label,Cat and Dog,Nutrition,food,https://thewildest.com/pet-nutrition/pet-food-label,Claudia Kawczynska,bark-article-4953,"dog, dog food, dog nutrition, senior dog, puppy, new dog"
Some Like It Hot - The Benefits of Warming vs. Cooling Diets,Cat and Dog,Nutrition,"food, holistic-vet-care",https://thewildest.com/pet-nutrition/warming-cooling-diets,Kate Sheofsky,6RT6dD13qwgL4eFF10nNGr,"dog, dog nutrition, dog lifestyle, dog wellness, dog vitamins/supplements, pet health, cat, cat food, dog food, cat nutrition, cat lifestyle, cat wellness, cat vitamins/supplements"
Could Fish Reduce Your Pet's Carbon Footprint? It's Complicated,Cat and Dog,Nutrition,"food, treats-food-toppers, sustainability",https://thewildest.com/pet-nutrition/sustainable-pet-food-fish,Kat L. Smith,38X1XBmCHvtveqogVOAwaT,"cat, cat food, cat nutrition, dog, dog food, dog nutrition, kitten, kitten food, puppy, sustainable"
8 Holistic Brands Curated by Integrative Veterinarian Dr. Lindsey Wendt,Cat and Dog,Nutrition,"holistic-vet-care, vitamins-supplements, food, food-treats-feeders, treats-food-toppers, health-grooming",https://thewildest.com/pet-nutrition/dr-lindsey-wendt-holistic-pet-products,"Dr. Lindsey Wendt, DVM, CVA, CVFT, CCRT",5KK7ECEfdML2RfPzY7qVA0,"dog nutrition, dog lifestyle, dog health, dog, dog vitamins/supplements, dog wellness, cat, cat nutrition, cat lifestyle, cat wellness, kitten food, kitten health"
Queer Eye’s Antoni and JVN Pranked Fans to Introduce Their Yummers Pet Brand,Cat and Dog,Nutrition,"treats-food-toppers, food-treats-feeders",https://thewildest.com/pet-nutrition/antoni-jonathan-van-ness-yummers,Rebecca Caplan,5kpjANAakdwk8HKCUqq1ab,"pet lifestyle, pet parents, dog products, dog lifestyle, dog, dog food, dog vitamins/supplements, cat lifestyle, cat nutrition, cat products, cat vitamins/supplements, dog nutrition, cat"
Petaluma Is Getting Dogs to Eat Their Veggies,Cat and Dog,Nutrition,"food, food-treats-feeders, eco-friendly, sustainability",https://thewildest.com/pet-nutrition/petaluma-dog-food,Sean Zucker,5AXyPCwktcFv2h3RzEONr5,"dog, dog food, dog health, dog nutrition, dog products, sustainable, senior dog, puppy, new dog, behind the brand"
The Sustainable Pet Food Movement is Fired Up,Cat and Dog,Nutrition,"food, sustainability",https://thewildest.com/pet-nutrition/sustainable-pet-food,Daria Solovieva,1DTGOGTWps5UUw3nWKQuQk,"cat nutrition, dog food, cat food, dog nutrition, cat, dog, dog health, cat health, kitten food, new cat, new dog, summer, sustainable"
Is Your Dog Not Eating? | How to Get a Dog to Eat,Dog,Nutrition,"food, conditions-treatments",https://thewildest.com/dog-nutrition/dog-not-eating,Kate Sheofsky,51XS9FI09qnfoJUlUjlZBR,"dog, dog adoption, dog health, dog nutrition, new dog, puppy, senior dog"
Dog Weight Management Made Simple,Dog,Nutrition,weight-management,https://thewildest.com/dog-nutrition/weight-management-made-simple,"Dr. Shea Cox, DVM, CVPP, CHPV",1QeTTPJCE4imbjDhIoqy3F,"dog, dog food, dog health, dog nutrition, new dog, senior dog"
DIY Probiotics For Dogs: Adding Probiotics to Your Dog’s Diet,Dog,Nutrition,"vitamins-supplements, holistic-vet-care",https://thewildest.com/dog-nutrition/diy-probiotics,Elizabeth Kennedy,bark-article-4510,"dog, dog health, dog nutrition, dog products, new dog, puppy, senior dog, dog vitamins/supplements, dog wellness"
The Best Toppings for Your Dog’s Food,Dog,Nutrition,"food, recipes, food-treats-feeders",https://thewildest.com/dog-nutrition/dog-food-topping,Elizabeth Kennedy,bark-article-4745,"dog, dog nutrition, dog food, recipes, dog products, dog vitamins/supplements, new dog, puppy, senior dog"
10 Fruits and Vegetables That Are Good for Dogs,Dog,Nutrition,"food, treats-food-toppers",https://thewildest.com/dog-nutrition/10-foods-liven-your-dogs-dinner,"Roschelle Heuberger, PhD",bark-article-131,"dog, dog food, dog health, dog nutrition, can my dog eat this?, dog vitamins/supplements"
Putting Your Dog on a Low-Calorie Diet,Dog,Nutrition,"food, weight-management",https://thewildest.com/dog-nutrition/putting-your-dog-low-calorie-diet,Lisa Wogan,bark-article-2169,"dog, dog food, dog health, dog nutrition"
Can Dogs Eat Peanut Butter?,Dog,Nutrition,"food, treats-food-toppers",https://thewildest.com/dog-nutrition/can-dogs-eat-peanut-butter,Daniela Lopez,4GDEAW8Swlt7zkcTklYyJF,"dog, dog food, dog nutrition, dog safety, recipes, can my dog eat this?"
Recipe: Easy Homemade Dry Dog Kibble!,Dog,Nutrition,"food, recipes",https://thewildest.com/dog-nutrition/homemade-kibble,Daniela Lopez,1HKDpZss1pPI1hAPRLWuxn,"dog, dog nutrition, dog food, recipes, big dog, new dog, senior dog, small dog"
